agriprod_code,agriprod_name,link,lucas_lc_code,lucas_lc_name,lucas_lu_code,lucas_lu_name
ARA,Arable land,,,,,
C0000,Cereals for the production of grain (including seed),=,B10,CEREALS,U111,AgricultureU111,Agriculture
C1000,Cereals (excluding rice) for the production of grain (including seed),,,,U111,Agriculture
C1110,Common wheat and spelt,>,B11,Common wheat,U111,Agriculture
C1111,Common winter wheat and spelt,>,B11,Common wheat,U111,Agriculture
C1112,Common spring wheat and spelt,>,B11,Common wheat,U111,Agriculture
C1120,Durum wheat,=,B12,Durum Wheat,U111,Agriculture
C1121,Winter durum wheat,<,B12,Durum Wheat,U111,Agriculture
C1122,Spring durum wheat,<,B12,Durum Wheat,U111,Agriculture
C1210,Rye,=,B14,Rye,U111,Agriculture
C1211,Winter rye,<,B14,Rye,U111,Agriculture
C1212,Spring rye,<,B14,Rye,U111,Agriculture
C1220,Winter cereal mixtures (maslin),>,B14,Rye,U111,Agriculture
C1300,Barley,=,B13,Barley,U111,Agriculture
C1310,Winter barley,<,B13,Barley,U111,Agriculture
C1320,Spring barley,<,B13,Barley,U111,Agriculture
C1320M,Malting barley,<,B13,Barley,U111,Agriculture
C1410,Oats,=,B15,Oats,U111,Agriculture
C1420,Spring cereal mixtures (mixed grain other than maslin),>,B15,Oats,U111,Agriculture
C1500,Grain maize and corn-cob-mix,<,B16,Maize,U111,Agriculture
C1600,Triticale,=,B18,Triticale,U111,Agriculture
C1610,Winter triticale,<,B18,Triticale,U111,Agriculture
C1700,Sorghum,<,B19,Other cereals,U111,Agriculture
C1900,"Other cereals n.e.c. (buckwheat, millet, canary seed, etc.)",<,B19,Other cereals,U111,Agriculture
C1900T,"Other cereals n.e.c. (buckwheat, millet, canary seed, etc.) - outdoor",<,B19,Other cereals,U111,Agriculture
C1990,"Other cereals n.e.c. (millet, canary seed, etc.)",<,B19,Other cereals,U111,Agriculture
C2000,Rice,=,B17,Rice,U111,Agriculture
E0000,Seeds and seedlings,,,,U111,Agriculture
F0000,"Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)",~,B70,PERMANENT CROPS: FRUIT TREES,U111,Agriculture
F1100,Pome fruits,,,,U111,Agriculture
F1110,Apples,=,B71,Apple fruit,U111,Agriculture
F1120,Pears,=,B72,Pear fruit,U111,Agriculture
F1190,Other pome fruits n.e.c.,~,B75,Other fruit trees and berries,U111,Agriculture
F1191,Quinces,<,B75,Other fruit trees and berries,U111,Agriculture
F1210,Peaches,<,B75i,"Peach, nectarine, platerine",U111,Agriculture
F1220,Nectarines,<,B75i,"Peach, nectarine, platerine",U111,Agriculture
F1230,Apricots,=,B75a,Apricots,U111,Agriculture
F1240,Cherries,=,B73,Cherry fruit,U111,Agriculture
F1250,Plums,=,B75k,Plums,U111,Agriculture
F2100,Figs,=,B75c,Figs,U111,Agriculture
F2200,Kiwis,=,B75e,Kiwi,U111,Agriculture
F2300,Avocados,<,B75q,Tropical fruit,U111,Agriculture
F2900,Other fruits from subtropical and tropical climate zones n.e.c.,~,B75q,Tropical fruit,U111,Agriculture
F3000,Berries (excluding strawberries),<,B75p,Small fruits and berries,U111,Agriculture
F3100,Currants,<,B75p,Small fruits and berries,U111,Agriculture
F3110,Blackcurrants,<,B75p,Small fruits and berries,U111,Agriculture
F3120,Red currants,<,B75r,Other fruit trees and berries n.e.c.,U111,Agriculture
F3200,Raspberries,<,B75p,Small fruits and berries,U111,Agriculture
F3300,Blueberries,<,B75p,Small fruits and berries,U111,Agriculture
F3900,Other berries n.e.c.,<,B75r,Other fruit trees and berries n.e.c.,U111,Agriculture
F3910,Gooseberries,<,B75r,Other fruit trees and berries n.e.c.,U111,Agriculture
F4000,Nuts,=,B74,Nuts trees,U111,Agriculture
F4100,Walnuts,<,B74,Nuts trees,U111,Agriculture
F4200,Hazelnuts,<,B74,Nuts trees,U111,Agriculture
F4300,Almonds,<,B74,Nuts trees,U111,Agriculture
F4400,Chestnuts,<,B74,Nuts trees,U111,Agriculture
F4900,Other nuts n.e.c.,<,B74,Nuts trees,U111,Agriculture
F4910,Pistachios,<,B74,Nuts trees,U111,Agriculture
FA9,Other areas on the farms,,,,U111,Agriculture
FOP,Forage plants,,,,U111,Agriculture
G1000,Temporary grasses and grazings,=,B55,Temporary grasslands,U111,Agriculture
G2000,Leguminous plants harvested green,~,B53,Other leguminous and mixtures for fodder,U111,Agriculture
G2100,Lucerne,=,B52,Lucerne,U111,Agriculture
G2900,Other leguminous plants harvested green n.e.c. (clover etc.),~,B50,FODDER CROPS,U111,Agriculture
G2910,Clover and mixtures,>,B51,Clovers,U111,Agriculture
G3000,Green maize,<,B16,Maize,U111,Agriculture
G9100,Other cereals harvested green (excluding green maize),,,,U111,Agriculture
G9900,Other plants harvested green from arable land n.e.c.,,,,U111,Agriculture
H9000,Other permanent crops for human consumption n.e.c.,,B84,Permanent industrial crops,U111,Agriculture
H9100,Carobs,<,B84k,Other permanent industrial crops,U111,Agriculture
I0000,Industrial crops,<,B30,NON-PERMANENT INDUSTRIAL CROPS,U111,Agriculture
I1100,Oilseeds,<,B30,NON-PERMANENT INDUSTRIAL CROPS,U111,Agriculture
I1110,Rape and turnip rape seeds,=,B32,Rape and turnip rape,U111,Agriculture
I1111,Winter rape and turnip rape seeds,<,B32,Rape and turnip rape,U111,Agriculture
I1112,Spring rape and turnip rape seeds,<,B32,Rape and turnip rape,U111,Agriculture
I1120,Sunflower seed,=,B31,Sunflower,U111,Agriculture
I1130,Soya,=,B33,Soya,U111,Agriculture
I1140,Linseed (oil flax),<,B35a,Flax,U111,Agriculture
I1150,Cotton seed,<,B34,Cotton,U111,Agriculture
I1190,Other oilseed crops n.e.c.,~,B35,Other fibre and oleaginous crops,U111,Agriculture
I1190T,Other oilseeds and oleaginous fruits - outdoor,~,B35,Other fibre and oleaginous crops,U111,Agriculture
I1920AM,Poppy (seeds),=,B35c,Poppy seeds,U111,Agriculture
I2000,Fibre crops,<,B35,Other fibre and oleaginous crops,U111,Agriculture
I2100,Fibre flax,<,B35a,Flax,U111,Agriculture
I2200,Hemp,=,B35b,Hemp,U111,Agriculture
I2300,Cotton fibre,<,B34,Cotton,U111,Agriculture
I3000,Tobacco,=,B36,Tobacco,U111,Agriculture
I4000,Hops,=,B37b,Hops,U111,Agriculture
I5000,"Aromatic, medicinal and culinary plants",~,B37,Other non permanent industrial crops,U111,Agriculture
I6000,Energy crops n.e.c.,<,B84,Permanent industrial crops,U111,Agriculture
I9000,Other industrial crops n.e.c.,~,B37,Other non permanent industrial crops,U111,Agriculture
J0000,Permanent grassland,>,E20,Permanent grassland without tree/shrub cover,U111,Agriculture
K0000,Kitchen gardens,,,,U113,Kitchen garden
L0000,Nurseries,=,B83,Nurseries,U111,Agriculture
L0000,Nurseries,=,B83,Nurseries,U111,Agriculture
N0000,Flowers and ornamental plants (excluding nurseries),=,B44,Floriculture and ornamental plants,U111,Agriculture
N1001P,Azaleas - potted,<,B44,Floriculture and ornamental plants,U111,Agriculture
N1008P,Begonia - potted,<,B44,Floriculture and ornamental plants,U111,Agriculture
N1009,Roses,<,B44,Floriculture and ornamental plants,U111,Agriculture
N1012,Chrysanthemums,<,B44,Floriculture and ornamental plants,U111,Agriculture
N1013,Gladioli,<,B44,Floriculture and ornamental plants,U111,Agriculture
